"","x"
"1",0.27
"2",0.29
"3",0.23
"4",0.28
"5",0.28
"6",0.26
"7",0.28
"8",0.27
"9",0.22
"10",0.35
"11",0.27
"12",0.31
"13",0.34
"14",0.34
"15",0.27
"16",0.35
"17",0.33
"18",0.25
"19",0.33
"20",0.25
"21",0.27
"22",0.31
"23",0.29
"24",0.25
"25",0.31
"26",0.24
"27",0.33
"28",0.3
"29",0.22
"30",0.43
"31",0.32
"32",0.33
"33",0.39
"34",0.34
"35",0.33
"36",0.31
"37",0.38
"38",0.33
"39",0.22
"40",0.33
"41",0.31
"42",0.23
"43",0.27
"44",0.27
"45",0.23
"46",0.21
"47",0.36
"48",0.3
"49",0.28
"50",0.32
"51",0.29
"52",0.27
"53",0.33
"54",0.16
"55",0.33
"56",0.25
"57",0.17
"58",0.28
"59",0.35
"60",0.33
"61",0.32
"62",0.26
"63",0.24
"64",0.25
"65",0.36
"66",0.3
"67",0.3
"68",0.25
"69",0.38
"70",0.29
"71",0.32
"72",0.33
"73",0.35
"74",0.26
"75",0.1
"76",0.26
"77",0.39
"78",0.23
"79",0.29
"80",0.27
"81",0.32
"82",0.32
"83",0.29
"84",0.31
"85",0.33
"86",0.42
"87",0.42
"88",0.25
"89",0.26
"90",0.21
"91",0.26
"92",0.27
"93",0.36
"94",0.31
"95",0.3
"96",0.26
"97",0.3
"98",0.31
"99",0.31
"100",0.23
"101",0.37
"102",0.25
"103",0.34
"104",0.2
"105",0.31
"106",0.34
"107",0.26
"108",0.28
"109",0.26
"110",0.33
"111",0.36
"112",0.29
"113",0.2
"114",0.29
"115",0.34
"116",0.3
"117",0.36
"118",0.28
"119",0.31
"120",0.31
"121",0.35
"122",0.3
"123",0.25
"124",0.29
"125",0.27
"126",0.24
"127",0.36
"128",0.35
"129",0.33
"130",0.22
"131",0.24
"132",0.33
"133",0.28
"134",0.38
"135",0.3
"136",0.32
"137",0.31
"138",0.29
"139",0.28
"140",0.3
"141",0.28
"142",0.29
"143",0.39
"144",0.31
"145",0.3
"146",0.31
"147",0.32
"148",0.36
"149",0.33
"150",0.3
"151",0.32
"152",0.27
"153",0.27
"154",0.27
"155",0.37
"156",0.26
"157",0.35
"158",0.31
"159",0.32
"160",0.24
"161",0.33
"162",0.31
"163",0.29
"164",0.26
"165",0.29
"166",0.31
"167",0.18
"168",0.31
"169",0.3
"170",0.41
"171",0.37
"172",0.2
"173",0.33
"174",0.32
"175",0.3
"176",0.32
"177",0.25
"178",0.22
"179",0.35
"180",0.25
"181",0.3
"182",0.37
"183",0.26
"184",0.22
"185",0.39
"186",0.32
"187",0.26
"188",0.27
"189",0.34
"190",0.22
"191",0.33
"192",0.36
"193",0.22
"194",0.24
"195",0.29
"196",0.31
"197",0.24
"198",0.25
"199",0.3
"200",0.37
"201",0.42
"202",0.33
"203",0.4
"204",0.37
"205",0.29
"206",0.17
"207",0.36
"208",0.29
"209",0.37
"210",0.38
"211",0.32
"212",0.25
"213",0.3
"214",0.28
"215",0.28
"216",0.23
"217",0.31
"218",0.26
"219",0.29
"220",0.24
"221",0.33
"222",0.28
"223",0.34
"224",0.29
"225",0.31
"226",0.22
"227",0.32
"228",0.33
"229",0.27
"230",0.35
"231",0.32
"232",0.29
"233",0.32
"234",0.34
"235",0.3
"236",0.34
"237",0.23
"238",0.2
"239",0.23
"240",0.42
"241",0.32
"242",0.26
"243",0.27
"244",0.38
"245",0.38
"246",0.35
"247",0.28
"248",0.31
"249",0.25
"250",0.28
"251",0.28
"252",0.27
"253",0.41
"254",0.31
"255",0.28
"256",0.3
"257",0.25
"258",0.34
"259",0.32
"260",0.22
"261",0.2
"262",0.27
"263",0.34
"264",0.35
"265",0.27
"266",0.37
"267",0.26
"268",0.27
"269",0.32
"270",0.39
"271",0.26
"272",0.26
"273",0.24
"274",0.36
"275",0.39
"276",0.3
"277",0.26
"278",0.16
"279",0.23
"280",0.27
"281",0.32
"282",0.34
"283",0.31
"284",0.28
"285",0.31
"286",0.32
"287",0.37
"288",0.28
"289",0.34
"290",0.27
"291",0.24
"292",0.23
"293",0.22
"294",0.23
"295",0.27
"296",0.32
"297",0.31
"298",0.27
"299",0.38
"300",0.33
